Date,Name,Year,Letterboxd URI
2024-10-29,Barbie,2023,https://boxd.it/bCLK
2024-10-29,Parasite,2019,https://boxd.it/hTha
2024-10-29,Fight Club,1999,https://boxd.it/2a9q
2024-10-29,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-10-29,La La Land,2016,https://boxd.it/a5fa
2024-11-08,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,https://boxd.it/puJk
2024-11-08,Mean Girls,2024,https://boxd.it/p6nO
2024-11-08,Baby Reindeer,2024,https://boxd.it/MwSa
2024-11-08,Saltburn,2023,https://boxd.it/z4eg
